course,nine,hole,blue,white,yellow,red,par,hcp
Plutaluang Navy Golf Course,East,1,562,552,470,419,5,3
Plutaluang Navy Golf Course,East,2,178,148,137,132,3,13
Plutaluang Navy Golf Course,East,3,379,349,280,273,4,11
Plutaluang Navy Golf Course,East,4,425,405,366,338,4,1
Plutaluang Navy Golf Course,East,5,174,156,143,123,3,17
Plutaluang Navy Golf Course,East,6,363,333,316,275,4,15
Plutaluang Navy Golf Course,East,7,370,335,313,264,4,7
Plutaluang Navy Golf Course,East,8,422,371,345,322,4,5
Plutaluang Navy Golf Course,East,9,572,548,531,479,5,9
Plutaluang Navy Golf Course,South,1,500,490,480,446,5,6
Plutaluang Navy Golf Course,South,2,434,374,356,332,4,8
Plutaluang Navy Golf Course,South,3,470,418,392,353,4,4
Plutaluang Navy Golf Course,South,4,162,142,130,110,3,18
Plutaluang Navy Golf Course,South,5,428,390,359,321,4,16
Plutaluang Navy Golf Course,South,6,557,507,495,439,5,2
Plutaluang Navy Golf Course,South,7,225,210,180,137,3,14
Plutaluang Navy Golf Course,South,8,347,329,319,314,4,12
Plutaluang Navy Golf Course,South,9,417,407,387,367,4,10
Plutaluang Navy Golf Course,West,1,373,367,331,312,4,13
Plutaluang Navy Golf Course,West,2,539,518,447,436,5,7
Plutaluang Navy Golf Course,West,3,165,154,149,141,3,17
Plutaluang Navy Golf Course,West,4,414,380,365,346,4,5
Plutaluang Navy Golf Course,West,5,560,545,518,503,5,3
Plutaluang Navy Golf Course,West,6,404,382,314,283,4,11
Plutaluang Navy Golf Course,West,7,454,434,387,357,4,1
Plutaluang Navy Golf Course,West,8,172,155,142,128,3,15
Plutaluang Navy Golf Course,West,9,408,395,364,358,4,9
Plutaluang Navy Golf Course,North,1,381,361,376,338,4,6
Plutaluang Navy Golf Course,North,2,520,484,468,395,5,12
Plutaluang Navy Golf Course,North,3,173,153,125,110,3,16
Plutaluang Navy Golf Course,North,4,600,563,559,489,5,8
Plutaluang Navy Golf Course,North,5,420,400,367,333,4,4
Plutaluang Navy Golf Course,North,6,175,160,144,129,3,18
Plutaluang Navy Golf Course,North,7,410,390,367,325,4,14
Plutaluang Navy Golf Course,North,8,430,410,346,343,4,2
Plutaluang Navy Golf Course,North,9,391,381,312,301,4,10
